,SummonerName,MatchName,Kills,KillDiff,Deaths,DeathDiff,Assists,AssistDiff,CS,CSDiff,Gold,GoldDiff,Win,Champion,OppChamp,GameTime,CSPerMin
75,CG Solo,TSM-vs-CG-tb,0.0,-2.0,2.0,1.0,0.0,-4.0,352.0,-5.0,13118,-5466.0,0.0,Gnar,Gangplank,38.833333333333336,9.064377682403434
76,CG Solo,C9-vs-CG-tb,2.0,-3.0,4.0,0.0,1.0,-1.0,312.0,36.0,14546,-64.0,0.0,Gangplank,Camille,34.11666666666667,9.145090376160235
77,CG Solo,quarterfinal-2,0.0,-1.0,2.0,1.0,3.0,-1.0,258.0,16.0,9887,-1712.0,0.0,Gnar,Sion,30.38333333333333,8.491497531541416
78,CG Solo,quarterfinal-2,0.0,-1.0,5.0,2.0,10.0,7.0,295.0,-19.0,14040,650.0,1.0,Gnar,Ornn,41.18333333333333,7.163091865641441
79,CG Solo,quarterfinal-2,2.0,1.0,0.0,-2.0,5.0,5.0,266.0,-15.0,11232,349.0,1.0,Sion,Gnar,29.2,9.10958904109589
80,CG Solo,quarterfinal-2,2.0,1.0,0.0,-3.0,11.0,11.0,269.0,-27.0,12855,806.0,1.0,Ornn,Camille,31.266666666666666,8.603411513859275
81,CG Solo,semifinal-2,0.0,-1.0,3.0,3.0,1.0,-3.0,340.0,34.0,12412,-1274.0,0.0,Sion,Cho'Gath,35.35,9.618104667609618
82,CG Solo,semifinal-2,3.0,2.0,0.0,-2.0,3.0,2.0,339.0,-12.0,13996,106.0,1.0,Sion,Cho'Gath,34.46666666666667,9.83558994197292
83,CG Solo,semifinal-2,3.0,-1.0,1.0,1.0,1.0,-3.0,352.0,22.0,14975,-870.0,0.0,Gnar,Cho'Gath,40.38333333333333,8.716467189434585
84,CG Solo,semifinal-2,2.0,2.0,0.0,-3.0,6.0,6.0,219.0,-36.0,11395,1613.0,1.0,Sion,Shen,28.23333333333333,7.756788665879576
85,CG Solo,semifinal-2,0.0,-2.0,6.0,3.0,8.0,-2.0,444.0,-65.0,21818,-2346.0,0.0,Ornn,Sion,74.08333333333333,5.993250843644545
86,CG Solo,third-place,3.0,2.0,2.0,2.0,1.0,-5.0,254.0,0.0,10914,-448.0,0.0,Sion,Ornn,29.41666666666667,8.63456090651558
87,CG Solo,third-place,0.0,-6.0,6.0,6.0,1.0,-4.0,156.0,0.0,6176,-4536.0,0.0,Cho'Gath,Camille,21.166666666666668,7.37007874015748
88,CG Solo,third-place,1.0,-4.0,4.0,3.0,0.0,-1.0,174.0,-42.0,7405,-5240.0,0.0,Ornn,Camille,25.016666666666666,6.955363091272485
